IND,A,R,N,D,C,Q,E,G,H,I,L,K,M,F,P,S,T,W,Y,V,B,J,O,U,X,Z
CHOP780205 ,1.2,1.25,0.59,0.61,1.11,1.22,1.24,0.42,1.77,0.98,1.13,1.83,1.57,1.1,0,0.96,0.75,0.4,0.73,1.25,0,0,0,0,0,0
CHOP780206 ,0.7,0.34,1.42,0.98,0.65,0.75,1.04,1.41,1.22,0.78,0.85,1.01,0.83,0.93,1.1,1.55,1.09,0.62,0.99,0.75,0,0,0,0,0,0
CHOP780207 ,0.52,1.24,1.64,1.06,0.94,0.7,0.59,1.64,1.86,0.87,0.84,1.49,0.52,1.04,1.58,0.93,0.86,0.16,0.96,0.32,0,0,0,0,0,0
CHOP780208 ,0.86,0.9,0.66,0.38,0.87,1.65,0.35,0.63,0.54,1.94,1.3,1,1.43,1.5,0.66,0.63,1.17,1.49,1.07,1.69,0,0,0,0,0,0
CHOP780209 ,0.75,0.9,1.21,0.85,1.11,0.65,0.55,0.74,0.9,1.35,1.27,0.74,0.95,1.5,0.4,0.79,0.75,1.19,1.96,1.79,0,0,0,0,0,0
CHOP780210 ,0.67,0.89,1.86,1.39,1.34,1.09,0.92,1.46,0.78,0.59,0.46,1.09,0.52,0.3,1.58,1.41,1.09,0.48,1.23,0.42,0,0,0,0,0,0
CHOP780211 ,0.74,1.05,1.13,1.32,0.53,0.77,0.85,1.68,0.96,0.53,0.59,0.82,0.85,0.44,1.69,1.49,1.16,1.59,1.01,0.59,0,0,0,0,0,0
CHOP780212 ,0.06,0.07,161,147,149,74,56,102,0.14,43,61,55,68,59,102,0.12,86,77,82,62,0,0,0,0,0,0
CHOP780213 ,76,106,83,0.11,53,98,0.06,85,47,34,25,115,82,41,301,139,108,13,65,48,0,0,0,0,0,0
CHOP780214 ,35,99,191,179,117,37,77,0.19,93,13,36,72,14,65,34,125,65,64,114,28,0,0,0,0,0,0
CHOP780215 ,58,85,91,81,128,98,64,152,54,56,0.07,95,55,65,68,106,79,167,125,53,0,0,0,0,0,0
CHOP780216 ,0.64,1.05,1.56,1.61,0.92,0.84,0.8,1.63,0.77,0.29,0.36,1.13,0.51,0.62,2.04,1.52,0.98,0.48,1.08,0.43,0,0,0,0,0,0
CIDH920101 ,-0.45,-0.24,-0.2,-1.52,0.79,-0.99,-0.8,-1,1.07,0.76,1.29,-0.36,1.37,1.48,-0.12,-0.98,-0.7,1.38,1.49,1.26,0,0,0,0,0,0
CIDH920102 ,-0.08,-0.09,-0.7,-0.71,0.76,-0.4,-1.31,-0.84,0.43,1.39,1.24,-0.09,1.27,1.53,-0.01,-0.93,-0.59,2.25,1.53,1.09,0,0,0,0,0,0
CIDH920103 ,0.36,-0.52,-0.9,-1.09,0.7,-1.05,-0.83,-0.82,0.16,2.17,1.18,-0.56,1.21,1.01,-0.06,-0.6,-1.2,1.31,1.05,1.21,0,0,0,0,0,0
CIDH920104 ,0.17,-0.7,-0.9,-1.05,1.24,-1.2,-1.19,-0.57,-0.25,2.06,0.96,-0.62,0.6,1.29,-0.21,-0.83,-0.62,1.51,0.66,1.21,0,0,0,0,0,0
CIDH920105 ,0.02,-0.42,-0.77,-1.04,0.77,-1.1,-1.14,-0.8,0.26,1.81,1.14,-0.41,1,1.35,-0.09,-0.97,-0.77,1.71,1.11,1.13,0,0,0,0,0,0
COHE430101 ,0.75,0.7,0.61,0.6,0.61,0.67,0.66,0.64,0.67,0.9,0.9,0.82,0.75,0.77,0.76,0.68,0.7,0.74,0.71,0.86,0,0,0,0,0,0
CRAJ730101 ,1.33,0.79,0.72,0.97,0.93,1.42,1.66,0.58,1.49,0.99,1.29,1.03,1.4,1.15,0.49,0.83,0.94,1.33,0.49,0.96,0,0,0,0,0,0
CRAJ730102 ,1,0.74,0.75,0.89,0.99,0.87,0.37,0.56,0.36,1.75,1.53,1.18,1.4,1.26,0.36,0.65,1.15,0.84,1.41,1.61,0,0,0,0,0,0
CRAJ730103 ,0.6,0.79,1.42,1.24,1.29,0.92,0.64,1.38,0.95,0.67,0.7,1.1,0.67,1.05,1.47,1.26,1.05,1.23,1.35,0.48,0,0,0,0,0,0
DAWD720101 ,2.5,7.5,5,2.5,3,6,5,0.5,6,5.5,5.5,7,6,6.5,5.5,3,5,7,7,5,0,0,0,0,0,0
DAYM780101 ,8.6,4.9,4.3,5.5,2.9,3.9,6,8.4,2,4.5,7.4,6.6,1.7,3.6,5.2,7,6.1,1.3,3.4,6.6,0,0,0,0,0,0
DAYM780201 ,100,65,134,106,20,93,102,49,66,96,40,56,94,41,56,120,97,18,41,74,0,0,0,0,0,0
DESM900101 ,1.56,0.59,0.51,0.23,1.8,0.39,0.19,1.03,1,1.27,1.38,0.15,1.93,1.42,0.27,0.96,1.11,0.91,1.1,1.58,0,0,0,0,0,0
DESM900102 ,1.26,0.38,0.59,0.27,1.6,0.39,0.23,1.08,1,1.44,1.36,0.33,1.52,1.46,0.54,0.98,1.01,1.06,0.89,1.33,0,0,0,0,0,0
EISD840101 ,0.25,-1.76,-0.64,-0.72,0.04,-0.69,-0.62,0.16,-0.4,0.73,0.53,-1.1,0.26,0.61,-0.07,-0.26,-0.18,0.37,0.02,0.54,0,0,0,0,0,0
EISD860101 ,0.67,-2.1,-0.6,-1.2,0.38,-0.22,-0.76,0,0.64,1.9,1.9,-0.57,2.4,2.3,1.2,0.01,0.52,2.6,1.6,1.5,0,0,0,0,0,0
EISD860102 ,0,10,1.3,1.9,0.17,1.9,3,0,0.99,1.2,1,5.7,1.9,1.1,0.18,0.73,1.5,1.6,1.8,0.48,0,0,0,0,0,0
EISD860103 ,0,-0.96,-0.86,-0.98,0.76,-1,-0.89,0,-0.75,0.99,0.89,-0.99,0.94,0.92,0.22,-0.67,0.09,0.67,-0.93,0.84,0,0,0,0,0,0
FASG760101 ,89.09,174.2,132.12,133.1,121.15,146.15,147.13,75.07,155.16,131.17,131.17,146.19,149.21,165.19,115.13,105.09,119.12,204.24,181.19,117.15,0,0,0,0,0,0
FASG760102 ,297,238,236,270,178,185,249,290,277,284,337,224,283,284,222,228,253,282,344,293,0,0,0,0,0,0
FASG760103 ,1.8,12.5,-5.6,5.05,-16.5,6.3,12,0,-38.5,12.4,-11,14.6,-10,-34.5,-86.2,-7.5,-28,-33.7,-10,5.63,0,0,0,0,0,0
FASG760104 ,9.69,8.99,8.8,9.6,8.35,9.13,9.67,9.78,9.17,9.68,9.6,9.18,9.21,9.18,10.64,9.21,9.1,9.44,9.11,9.62,0,0,0,0,0,0
FASG760105 ,2.34,1.82,2.02,1.88,1.92,2.17,2.1,2.35,1.82,2.36,2.36,2.16,2.28,2.16,1.95,2.19,2.09,2.43,2.2,2.32,0,0,0,0,0,0
FAUJ830101 ,0.31,-1.01,-0.6,-0.77,1.54,-0.22,-0.64,0,0.13,1.8,1.7,-0.99,1.23,1.79,0.72,-0.04,0.26,2.25,0.96,1.22,0,0,0,0,0,0
FAUJ880101 ,1.28,2.34,1.6,1.6,1.77,1.56,1.56,0,2.99,4.19,2.59,1.89,2.35,2.94,2.67,1.31,3.03,3.21,2.94,3.67,0,0,0,0,0,0
FAUJ880102 ,0.53,0.69,0.58,0.59,0.66,0.71,0.72,0,0.64,0.96,0.92,0.78,0.77,0.71,0,0.55,0.63,0.84,0.71,0.89,0,0,0,0,0,0
FAUJ880103 ,1,6.13,2.95,2.78,2.43,3.95,3.78,0,4.66,4,4,4.77,4.43,5.89,2.72,1.6,2.6,8.08,6.47,3,0,0,0,0,0,0
FAUJ880104 ,2.87,7.82,4.58,4.74,4.47,6.11,5.97,2.06,5.23,4.92,4.92,6.89,6.36,4.62,4.11,3.97,4.11,7.68,4.73,4.11,0,0,0,0,0,0
FAUJ880105 ,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1,1.52,1.9,1.52,1.52,1.52,1.52,1.52,1.52,1.73,1.52,1.52,1.9,0,0,0,0,0,0
FAUJ880106 ,2.04,6.24,4.37,3.78,3.41,3.53,3.31,1,5.66,3.49,4.45,4.87,4.8,6.02,4.31,2.7,3.17,5.9,6.72,3.17,0,0,0,0,0,0
FAUJ880107 ,7.3,11.1,8,9.2,14.4,10.6,11.4,0,10.2,16.1,10.1,10.9,10.4,13.9,17.8,13.1,16.7,13.2,13.9,17.2,0,0,0,0,0,0
FAUJ880108 ,-0.01,0.04,0.06,0.15,0.12,0.05,0.07,0,0.08,-0.01,-0.01,0,0.04,0.03,0,0.11,0.04,0,0.03,0.01,0,0,0,0,0,0
FAUJ880109 ,0,4,2,1,0,2,1,0,1,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0
FAUJ880110 ,0,3,3,4,0,3,4,0,1,0,0,1,0,0,0,2,2,0,2,0,0,0,0,0,0,0
FAUJ880111 ,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAUJ880112 ,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAUJ880113 ,4.76,4.3,3.64,5.69,3.67,4.54,5.48,3.77,2.84,4.81,4.79,4.27,4.25,4.31,0,3.83,3.87,4.75,4.3,4.86,0,0,0,0,0,0
FINA770101 ,1.08,1.05,0.85,0.85,0.95,0.95,1.15,0.55,1,1.05,1.25,1.15,1.15,1.1,0.71,0.75,0.75,1.1,1.1,0.95,0,0,0,0,0,0
FINA910101 ,1,0.7,1.7,3.2,1,1,1.7,1,1,0.6,1,0.7,1,1,1,1.7,1.7,1,1,0.6,0,0,0,0,0,0
FINA910102 ,1,0.7,1,1.7,1,1,1.7,1.3,1,1,1,0.7,1,1,13,1,1,1,1,1,0,0,0,0,0,0
FINA910103 ,1.2,1.7,1.2,0.7,1,1,0.7,0.8,1.2,0.8,1,1.7,1,1,1,1.5,1,1,1,0.8,0,0,0,0,0,0
FINA910104 ,1,1.7,1,0.7,1,1,0.7,1.5,1,1,1,1.7,1,1,0.1,1,1,1,1,1,0,0,0,0,0,0
GARJ730101 ,0.28,0.1,0.25,0.21,0.28,0.35,0.33,0.17,0.21,0.82,1,0.09,0.74,2.18,0.39,0.12,0.21,5.7,1.26,0.6,0,0,0,0,0,0
GEIM800101 ,1.29,1,0.81,1.1,0.79,1.07,1.49,0.63,1.33,1.05,1.31,1.33,1.54,1.13,0.63,0.78,0.77,1.18,0.71,0.81,0,0,0,0,0,0
GEIM800102 ,1.13,1.09,1.06,0.94,1.32,0.93,1.2,0.83,1.09,1.05,1.13,1.08,1.23,1.01,0.82,1.01,1.17,1.32,0.88,1.13,0,0,0,0,0,0
GEIM800103 ,1.55,0.2,1.2,1.55,1.44,1.13,1.67,0.59,1.21,1.27,1.25,1.2,1.37,0.4,0.21,1.01,0.55,1.86,1.08,0.64,0,0,0,0,0,0
GEIM800104 ,1.19,1,0.94,1.07,0.95,1.32,1.64,0.6,1.03,1.12,1.18,1.27,1.49,1.02,0.68,0.81,0.85,1.18,0.77,0.74,0,0,0,0,0,0
GEIM800105 ,0.84,1.04,0.66,0.59,1.27,1.02,0.57,0.94,0.81,1.29,1.1,0.86,0.88,1.15,0.8,1.05,1.2,1.15,1.39,1.56,0,0,0,0,0,0
GEIM800106 ,0.86,1.15,0.6,0.66,0.91,1.11,0.37,0.86,1.07,1.17,1.28,1.01,1.15,1.34,0.61,0.91,1.14,1.13,1.37,1.31,0,0,0,0,0,0
GEIM800107 ,0.91,0.99,0.72,0.74,1.12,0.9,0.41,0.91,1.01,1.29,1.23,0.86,0.96,1.26,0.65,0.93,1.05,1.15,1.21,1.58,0,0,0,0,0,0
GEIM800108 ,0.91,1,1.64,1.4,0.93,0.94,0.97,1.51,0.9,0.65,0.59,0.82,0.58,0.72,1.66,1.23,1.04,0.67,0.92,0.6,0,0,0,0,0,0
GEIM800109 ,0.8,0.96,1.1,1.6,0,1.6,0.4,2,0.96,0.85,0.8,0.94,0.39,1.2,2.1,1.3,0.6,0,1.8,0.8,0,0,0,0,0,0
GEIM800110 ,1.1,0.93,1.57,1.41,1.05,0.81,1.4,1.3,0.85,0.67,0.52,0.94,0.69,0.6,1.77,1.13,0.88,0.62,0.41,0.58,0,0,0,0,0,0
GEIM800111 ,0.93,1.01,1.36,1.22,0.92,0.83,1.05,1.45,0.96,0.58,0.59,0.91,0.6,0.71,1.67,1.25,1.08,0.68,0.98,0.62,0,0,0,0,0,0
GOLD730101 ,0.75,0.75,0.69,0,1,0.59,0,0,0,2.95,2.4,1.5,1.3,2.65,2.6,0,0.45,3,2.85,1.7,0,0,0,0,0,0
GOLD730102 ,88.3,181.2,125.1,110.8,112.4,148.7,140.5,60,152.6,168.5,168.5,175.6,162.2,189,122.2,88.7,118.2,227,193,141.4,0,0,0,0,0,0
GRAR740101 ,0,0.65,1.33,1.38,2.75,0.89,0.92,0.74,0.58,0,0,0.33,0,0,0.39,1.42,0.71,0.13,0.2,0,0,0,0,0,0,0
GRAR740102 ,8.1,10.5,11.6,13,5.5,10.5,12.3,9,10.4,5.2,4.9,11.3,5.7,5.2,8,9.2,8.6,5.4,6.2,5.9,0,0,0,0,0,0
GRAR740103 ,31,124,56,54,55,85,83,3,96,111,111,119,105,132,32.5,32,61,170,136,84,0,0,0,0,0,0
GUYH850101 ,0.1,1.91,0.48,0.78,-1.42,0.95,0.83,0.33,-0.5,-1.13,-1.18,1.4,-1.59,-2.12,0.73,0.52,0.07,-0.51,-0.21,-1.27,0,0,0,0,0,0
HOPA770101 ,1,2.3,2.2,6.5,0.1,2.1,6.2,1.1,2.8,0.8,0.8,5.3,0.7,1.4,0.9,1.7,1.5,1.9,2.1,0.9,0,0,0,0,0,0
HOPT810101 ,-0.5,3,0.2,3,-1,0.2,3,0,-0.5,-1.8,-1.8,3,-1.3,-2.5,0,0.3,-0.4,-3.4,-2.3,-1.5,0,0,0,0,0,0
HUTJ700101 ,29.22,26.37,38.3,37.09,50.7,44.02,41.84,23.71,59.64,45,48.03,57.1,69.32,48.52,36.13,32.4,35.2,56.92,51.73,40.35,0,0,0,0,0,0
HUTJ700102 ,30.88,68.43,41.7,40.66,53.83,46.62,44.98,24.74,65.99,49.71,50.62,63.21,55.32,51.06,39.21,35.65,36.5,60,51.15,42.75,0,0,0,0,0,0
HUTJ700103 ,154.33,341.01,207.9,194.91,219.79,235.51,223.16,127.9,242.54,233.21,232.3,300.46,202.65,204.74,179.93,174.06,205.8,237.01,229.15,207.6,0,0,0,0,0,0
ISOY800101 ,1.53,1.17,0.6,1,0.89,1.27,1.63,0.44,1.03,1.07,1.32,1.26,1.66,1.22,0.25,0.65,0.86,1.05,0.7,0.93,0,0,0,0,0,0
ISOY800102 ,0.86,0.98,0.74,0.69,1.39,0.89,0.66,0.7,1.06,1.31,1.01,0.77,1.06,1.16,1.16,1.09,1.24,1.17,1.28,1.4,0,0,0,0,0,0
ISOY800103 ,0.78,1.06,1.56,1.5,0.6,0.78,0.97,1.73,0.83,0.4,0.57,1.01,0.3,0.67,1.55,1.19,1.09,0.74,1.14,0.44,0,0,0,0,0,0
ISOY800104 ,1.09,0.97,1.14,0.77,0.5,0.83,0.92,1.25,0.67,0.66,0.44,1.25,0.45,0.5,2.96,1.21,1.33,0.62,0.94,0.56,0,0,0,0,0,0
ISOY800105 ,0.35,0.75,2.12,2.16,0.5,0.73,0.65,2.4,1.19,0.12,0.58,0.83,0.22,0.89,0.43,1.24,0.85,0.62,1.44,0.43,0,0,0,0,0,0
ISOY800106 ,1.09,1.07,0.88,1.24,1.04,1.09,1.14,0.27,1.07,0.97,1.3,1.2,0.55,0.8,1.78,1.2,0.99,1.03,0.69,0.77,0,0,0,0,0,0
ISOY800107 ,1.34,2.78,0.92,1.77,1.44,0.79,2.54,0.95,0,0.52,1.05,0.79,0,0.43,0.37,0.87,1.14,1.79,0.73,0,0,0,0,0,0,0
ISOY800108 ,0.47,0.52,2.16,1.15,0.41,0.95,0.64,3.03,0.89,0.62,0.53,0.98,0.68,0.61,0.63,1.03,0.39,0.63,0.83,0.76,0,0,0,0,0,0
JANJ780101 ,27.8,94.7,60.1,60.6,15.5,68.7,68.2,24.5,50.7,22.8,27.6,103,33.5,25.5,51.5,42,45,34.7,55.2,23.7,0,0,0,0,0,0
JANJ780102 ,51,5,22,19,74,16,16,52,34,66,60,3,52,58,25,35,30,49,24,64,0,0,0,0,0,0
JANJ780103 ,15,67,49,50,5,56,55,10,34,13,16,85,20,10,45,32,32,17,41,14,0,0,0,0,0,0
JANJ790101 ,1.7,0.1,0.4,0.4,4.6,0.3,0.3,1.8,0.8,3.1,2.4,0.05,1.9,2.2,0.6,0.8,0.7,1.6,0.5,2.9,0,0,0,0,0,0
JANJ790102 ,0.3,-1.4,-0.5,-0.6,0.9,-0.7,-0.7,0.3,-0.1,0.7,0.5,-1.8,0.4,0.5,-0.3,-0.1,-0.2,0.3,-0.4,0.6,0,0,0,0,0,0
JOND750101 ,0.87,0.85,0.09,0.66,1.52,0,0.67,0.1,0.87,3.15,2.17,1.64,1.67,2.87,2.77,0.07,0.07,3.77,2.67,1.87,0,0,0,0,0,0
JOND750102 ,2.34,1.18,2.02,2.01,1.65,2.17,2.19,2.34,1.82,2.36,2.36,2.18,2.28,1.83,1.99,2.21,2.1,2.38,2.2,2.32,0,0,0,0,0,0
JOND920101 ,77,51,43,52,0.02,41,62,74,23,53,91,59,24,0.04,51,69,59,14,32,66,0,0,0,0,0,0
JOND920102 ,100,83,104,86,44,84,77,50,91,103,54,72,93,51,58,117,107,25,50,98,0,0,0,0,0,0
JUKT750101 ,5.3,2.6,3,3.6,1.3,2.4,3.3,4.8,1.4,3.1,4.7,4.1,1.1,2.3,2.5,4.5,3.7,0.8,2.3,4.2,0,0,0,0,0,0
JUNJ780101 ,685,382,397,400,241,313,427,707,155,394,581,575,132,303,366,593,490,99,292,553,0,0,0,0,0,0
KANM800101 ,1.36,1,0.89,1.04,0.82,1.14,1.48,0.63,1.11,1.08,1.21,1.22,1.45,1.05,0.52,0.74,0.81,0.97,0.79,0.94,0,0,0,0,0,0
KANM800102 ,0.81,0.85,0.62,0.71,1.17,0.98,0.53,0.88,0.92,1.48,1.24,0.77,1.05,1.2,0.61,0.92,1.18,1.18,1.23,1.66,0,0,0,0,0,0
KANM800103 ,1.45,1.15,0.64,0.91,0.7,1.14,1.29,0.53,1.13,1.23,1.56,1.27,1.83,1.2,0.21,0.48,0.77,1.17,0.74,1.1,0,0,0,0,0,0
KANM800104 ,0.75,0.79,0.33,0.31,1.46,0.75,0.46,0.83,0.83,1.87,1.56,0.66,0.86,1.37,0.52,0.82,1.36,0.79,1.08,2,0,0,0,0,0,0
KARP850101 ,1041,1038,1117,1033,0.96,1165,1094,1142,982,1002,967,1093,947,0.93,1055,1169,1073,925,961,982,0,0,0,0,0,0
KARP850102 ,946,1028,1006,1089,878,1025,1036,1042,952,892,961,1082,862,912,1085,1048,1051,917,0.93,927,0,0,0,0,0,0
KARP850103 ,892,901,0.93,932,925,885,933,923,894,872,921,1057,804,914,932,923,934,803,837,913,0,0,0,0,0,0
KHAG800101 ,49.1,133,-3.6,0,0,20,0,64.6,75.7,18.9,15.6,0,6.8,54.7,43.8,44.4,31,70.5,0,29.5,0,0,0,0,0,0
KLEP840101 ,0,1,0,-1,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KRIW710101 ,4.6,6.5,5.9,5.7,-1,6.1,5.6,7.6,4.5,2.6,3.25,7.9,1.4,3.2,7,5.25,4.8,4,4.35,3.4,0,0,0,0,0,0
KRIW790101 ,4.32,6.55,6.24,6.04,1.73,6.13,6.17,6.09,5.66,2.31,3.93,7.92,2.44,2.59,7.19,5.37,5.16,2.78,3.58,3.31,0,0,0,0,0,0
KRIW790102 ,0.28,0.34,0.31,0.33,0.11,0.39,0.37,0.28,0.23,0.12,0.16,0.59,0.08,0.1,0.46,0.27,0.26,0.15,0.25,0.22,0,0,0,0,0,0
KRIW790103 ,27.5,105,58.7,40,44.6,80.7,62,0,79,93.5,93.5,100,94.1,115.5,41.9,29.3,51.3,145.5,117.3,71.5,0,0,0,0,0,0
KYTJ820101 ,1.8,-4.5,-3.5,-3.5,2.5,-3.5,-3.5,-0.4,-3.2,4.5,3.8,-3.9,1.9,2.8,-1.6,-0.8,-0.7,-0.9,-1.3,4.2,0,0,0,0,0,0
LAWE840101 ,-0.48,-0.06,-0.87,-0.75,-0.32,-0.32,-0.71,0,-0.51,0.81,1.02,-0.09,0.81,1.03,2.03,0.05,-0.35,0.66,1.24,0.56,0,0,0,0,0,0
LEVM760101 ,-0.5,3,0.2,2.5,-1,0.2,2.5,0,-0.5,-1.8,-1.8,3,-1.3,-2.5,-1.4,0.3,-0.4,-3.4,-2.3,-1.5,0,0,0,0,0,0
