IND,A,R,N,D,C,Q,E,G,H,I,L,K,M,F,P,S,T,W,Y,V,B,J,O,U,X,Z
PARS000101 ,8.6,4.2,4.6,4.9,2.9,4,5.1,7.8,2.1,4.6,8.8,6.3,2.5,3.7,4.9,7.3,6,1.4,3.6,6.7,0,0,0,0,0,0
PARS000102 ,7.6,5,4.4,5.2,2.2,4.1,6.2,6.9,2.1,5.1,9.4,5.8,2.1,4,5.4,7.2,6.1,1.4,3.2,6.7,0,0,0,0,0,0
KUMS000101 ,8.1,4.6,3.7,3.8,2,3.1,4.6,7,2,6.7,11,4.4,2.8,5.6,4.7,7.3,5.6,1.8,3.3,7.7,0,0,0,0,0,0
KUMS000102 ,7.9,4.9,4,5.5,1.9,4.4,7.1,7.1,2.1,5.2,8.6,6.7,2.4,3.9,5.3,6.6,5.3,1.2,3.1,6.8,0,0,0,0,0,0
KUMS000103 ,8.3,8.7,3.7,4.7,1.6,4.7,6.5,6.3,2.1,3.7,7.4,7.9,2.3,2.7,6.9,8.8,5.1,0.7,2.4,5.3,0,0,0,0,0,0
KUMS000104 ,4.47,8.48,3.89,7.05,0.29,2.87,16.56,8.29,1.74,3.3,5.06,12.98,1.71,2.32,5.41,4.27,3.83,0.67,2.75,4.05,0,0,0,0,0,0
TAKK010101 ,6.77,6.87,5.5,8.57,0.31,5.24,12.93,7.95,2.8,2.72,4.43,10.2,1.87,1.92,4.79,5.41,5.36,0.54,2.26,3.57,0,0,0,0,0,0
FODM020101 ,7.43,4.51,9.12,8.71,0.42,5.42,5.86,9.4,1.49,1.76,2.74,9.67,0.6,1.18,5.6,9.6,8.95,1.18,3.26,3.1,0,0,0,0,0,0
NADH010101 ,5.22,7.3,6.06,7.91,1.01,6,10.66,5.81,2.27,2.36,4.52,12.68,1.85,1.68,5.7,6.99,5.16,0.56,2.16,4.1,0,0,0,0,0,0
NADH010102 ,9.88,3.71,2.35,3.5,1.12,1.66,4.02,6.88,1.88,10.08,13.21,3.39,2.44,5.27,3.8,4.1,4.98,1.11,4.07,12.53,0,0,0,0,0,0
NADH010103 ,10.98,3.26,2.85,3.37,1.47,2.3,3.51,7.48,2.2,9.74,12.79,2.54,3.1,4.97,3.42,4.93,5.55,1.28,3.55,10.69,0,0,0,0,0,0
NADH010104 ,9.95,3.05,4.84,4.46,1.3,2.64,2.58,8.87,1.99,7.73,9.66,2,2.45,5.41,3.2,6.03,5.62,2.6,6.15,9.46,0,0,0,0,0,0
NADH010105 ,8.26,2.8,2.54,2.8,2.67,2.86,2.67,5.62,1.98,8.95,16.46,1.89,2.67,7.32,3.3,6,5,2.01,3.96,10.24,0,0,0,0,0,0
NADH010106 ,7.39,5.91,3.06,5.14,0.74,2.22,9.8,7.53,1.82,6.96,9.45,7.81,2.1,3.91,4.54,4.18,4.45,0.9,3.46,8.62,0,0,0,0,0,0
NADH010107 ,9.07,4.9,4.05,5.73,0.95,3.63,7.77,7.69,2.47,6.56,9,6.01,2.54,3.59,4.04,5.15,5.46,0.95,2.96,7.47,0,0,0,0,0,0
MONM990201 ,8.82,3.71,6.77,6.38,0.9,3.89,4.05,9.11,1.77,5.05,6.54,5.45,1.62,3.51,4.28,7.64,7.12,1.96,4.85,6.6,0,0,0,0,0,0
KOEP990101 ,6.65,5.17,4.4,5.5,1.79,4.52,6.89,5.72,2.13,5.47,10.15,7.59,2.24,4.34,4.56,6.52,5.08,1.24,3.01,7,0,0,0,0,0,0
KOEP990102 ,163,0.22,124,212,316,274,212,0.08,315,474,315,255,356,0.41,NA,0.29,412,325,354,515,0,0,0,0,0,0
CEDJ970101 ,236,233,189,168,259,314,306,-0.17,256,391,293,231,367,328,NA,202,308,197,223,436,0,0,0,0,0,0
CEDJ970102 ,-0.49,-429,-387,-375,-352,-422,-382,-647,-357,-268,-0.45,-409,-375,-309,NA,-426,-0.24,-325,-288,-0.22,0,0,0,0,0,0
CEDJ970103 ,-871,-727,-741,-737,-666,-728,-773,-822,-685,-617,-798,-715,-717,-649,NA,-679,-629,-669,-655,-599,0,0,0,0,0,0
CEDJ970104 ,-393,-317,-268,-247,-222,-291,-0.26,-0.57,-244,-144,-281,-294,-274,-189,NA,-0.28,-152,-206,-155,-0.08,0,0,0,0,0,0
CEDJ970105 ,-378,-369,-245,-113,-206,-0.29,-165,-0.56,-295,-134,-266,-335,-0.26,-187,NA,-251,-93,-188,-147,-84,0,0,0,0,0,0
FUKS010101 ,-729,-535,-597,-545,-408,-492,-532,-0.86,-519,-361,-462,-508,-518,-454,NA,-278,-367,-455,-439,-323,0,0,0,0,0,0
FUKS010102 ,-623,-567,-619,-626,-571,-559,-572,-679,-508,-199,-527,-581,-571,-461,NA,-458,-233,-327,-451,-263,0,0,0,0,0,0
FUKS010103 ,-376,-0.28,-403,-405,-441,-362,-362,-392,-345,-194,-317,-412,-312,-237,NA,-374,-243,-111,-171,-355,0,0,0,0,0,0
FUKS010104 ,NA,0.62,0.76,0.66,0.83,0.59,0.73,NA,0.92,0.88,0.89,0.77,0.77,0.92,0.94,0.58,0.73,0.86,0.93,0.88,0,0,0,0,0,0
FUKS010105 ,0,2.45,0,0,0,1.25,1.27,0,1.45,0,0,3.67,0,0,0,0,0,6.93,5.06,0,0,0,0,0,0,0
FUKS010106 ,89.3,190.3,122.4,114.4,102.5,146.9,138.8,63.8,157.5,163,163.1,165.1,165.8,190.8,121.6,94.2,119.6,226.4,194.6,138.2,0,0,0,0,0,0
FUKS010107 ,90,194,124.7,117.3,103.3,149.4,142.2,64.9,160,163.9,164,167.3,167,191.9,122.9,95.4,121.5,228.2,197,139,0,0,0,0,0,0
FUKS010108 ,0.0373,0.0959,0.0036,0.1263,0.0829,0.0761,0.0058,5,0.0242,0,0,0.0371,0.0823,0.0946,0.0198,0.0829,0.0941,0.0548,0.0516,0.0057,0,0,0,0,0,0
FUKS010109 ,0.85,0.2,-0.48,-1.1,2.1,-0.42,-0.79,0,0.22,3.14,1.99,-1.19,1.42,1.69,-1.14,-0.52,-0.08,1.76,1.37,2.53,0,0,0,0,0,0
FUKS010110 ,0.06,-0.85,0.25,-0.2,0.49,0.31,-0.1,0.21,-2.24,3.48,3.5,-1.62,0.21,4.8,0.71,-0.62,0.65,2.29,1.89,1.59,0,0,0,0,0,0
FUKS010111 ,2.62,1.26,-1.27,-2.84,0.73,-1.69,-0.45,-1.15,-0.74,4.38,6.57,-2.78,-3.12,9.14,-0.12,-1.39,1.81,5.91,1.39,2.3,0,0,0,0,0,0
FUKS010112 ,-1.64,-3.28,0.83,0.7,9.3,-0.04,1.18,-1.85,7.17,3.02,0.83,-2.36,4.26,-1.36,3.12,1.59,2.31,2.61,2.37,0.52,0,0,0,0,0,0
AVBF000101 ,-2.34,1.6,2.81,-0.48,5.03,0.16,1.3,-1.06,-3,7.26,1.09,1.56,0.62,2.57,-0.15,1.93,0.19,3.59,-2.58,2.06,0,0,0,0,0,0
AVBF000102 ,0.78,1.58,1.2,1.35,0.55,1.19,1.45,0.68,0.99,0.47,0.56,1.1,0.66,0.47,0.69,1,1.05,0.7,1,0.51,0,0,0,0,0,0
AVBF000103 ,25,-7,-7,2,32,0,14,-2,-26,91,100,-26,68,100,25,-2,7,109,56,62,0,0,0,0,0,0
AVBF000104 ,1.1,-5.1,-3.5,-3.6,2.5,-3.68,-3.2,-0.64,-3.2,4.5,3.8,-4.11,1.9,2.8,-1.9,-0.5,-0.7,-0.46,-1.3,4.2,0,0,0,0,0,0
AVBF000105 ,0.1366,0.0363,-0.0345,-0.1233,0.2745,0.0325,-0.0484,-0.0464,0.0549,0.4172,0.4251,-0.0101,0.1747,0.4076,0.0019,-0.0433,0.0589,0.2362,0.3167,0.4084,0,0,0,0,0,0
AVBF000106 ,0.0728,0.0394,-39,-0.0552,0.3557,0.0126,-0.0295,-0.0589,0.0874,0.3805,0.3819,-0.0053,0.1613,0.4201,-0.0492,-0.0282,0.0239,0.4114,0.3113,0.2947,0,0,0,0,0,0
AVBF000107 ,151,-0.0103,0.0381,0.0047,0.3222,0.0246,-0.0639,0.0248,0.1335,0.4238,0.3926,-0.0158,216,0.3455,0.0844,4,0.1462,0.2657,0.2998,0.3997,0,0,0,0,0,0
AVBF000108 ,-58,0,27,16,447,-73,-128,331,195,0.06,138,-112,275,0.24,-478,-177,-163,564,322,-52,0,0,0,0,0,0
AVBF000109 ,-0.17,0.37,0.18,0.37,-0.06,0.26,0.15,0.01,-0.02,-0.28,-0.28,0.32,-0.26,-0.41,0.13,0.05,0.02,-0.15,-0.09,-0.17,0,0,0,0,0,0
YANJ020101 ,-0.15,0.32,0.22,0.41,-0.15,0.03,0.3,0.08,0.06,-0.29,-0.36,0.24,-0.19,-0.22,0.15,0.16,-0.08,-0.28,-0.03,-0.24,0,0,0,0,0,0
MITS020101 ,964,1143,944,916,778,1047,1051,835,1014,922,1085,944,1032,1119,1299,947,1017,895,1,955,0,0,0,0,0,0
TSAJ990101 ,974,1129,988,892,972,1092,1054,845,949,928,1.11,946,923,1122,1362,932,1023,879,902,923,0,0,0,0,0,0
TSAJ990102 ,938,1137,902,857,0.6856,916,1139,892,1109,986,1,952,1077,1.11,1266,956,1018,971,1157,959,0,0,0,0,0,0
COSI940101 ,1042,1069,828,0.97,0.5,1111,992,743,1034,852,1193,979,998,981,1332,984,992,0.96,1.12,1001,0,0,0,0,0,0
PONP930101 ,1065,1131,762,836,1015,861,736,1022,973,1189,1192,478,1369,1368,1241,1097,822,1017,836,1.14,0,0,0,0,0,0
WILM950101 ,0.99,1132,873,915,644,999,1053,785,1054,0.95,1106,1003,1093,1121,1314,911,988,939,1.09,957,0,0,0,0,0,0
WILM950102 ,892,1154,1144,925,1035,1.2,1115,917,992,817,994,944,782,1058,1309,986,1.11,841,866,0.9,0,0,0,0,0,0
WILM950103 ,1092,1239,927,919,662,1124,1199,698,1012,912,1276,1008,1171,1.09,0.8,886,832,981,1075,908,0,0,0,0,0,0
WILM950104 ,843,1038,956,906,896,968,0.9,978,1.05,946,885,893,878,1151,1816,1003,1189,852,945,999,0,0,0,0,0,0
KUHL950101 ,2.18,2.71,1.85,1.75,3.89,2.16,1.89,1.17,2.51,4.5,4.71,2.12,3.63,5.88,2.09,1.66,2.18,6.46,5.01,3.77,0,0,0,0,0,0
GUOD860101 ,1.79,3.2,2.83,2.33,2.22,2.37,2.52,0.7,3.06,4.59,4.72,2.5,3.91,4.84,2.45,1.82,2.45,5.64,4.46,3.67,0,0,0,0,0,0
JURD980101 ,13.4,8.5,7.6,8.2,22.6,8.5,7.3,7,11.3,20.3,20.8,6.1,15.7,23.9,9.9,8.2,10.3,24.5,19.5,19.5,0,0,0,0,0,0
BASU050101 ,0.0166,-0.0762,-0.0786,-0.1278,0.5724,-0.1051,-0.1794,-0.0442,0.1643,0.2758,0.2523,-0.2134,0.0197,0.3561,-0.4188,-0.1629,-0.0701,0.3836,0.25,0.1782,0,0,0,0,0,0
BASU050102 ,90.1,192.8,127.5,117.1,113.2,149.4,140.8,63.8,159.3,164.9,164.6,170,167.7,193.5,123.1,94.2,120,197.1,231.7,139.1,0,0,0,0,0,0
BASU050103 ,91.5,196.1,138.3,135.2,114.4,156.4,154.6,67.5,163.2,162.6,163.4,162.5,165.9,198.8,123.4,102,126,209.8,237.2,138.4,0,0,0,0,0,0
SUYM030101 ,1076,1361,1056,1.29,753,729,1118,1346,985,926,1054,1105,974,869,0.82,1342,871,666,531,1131,0,0,0,0,0,0
PUNT030101 ,1.12,-2.55,-0.83,-0.83,0.59,-0.78,-0.92,1.2,-0.93,1.16,1.18,-0.8,0.55,0.67,0.54,-0.05,-0.02,-0.19,-0.23,1.13,0,0,0,0,0,0
PUNT030102 ,1.38,0,0.37,0.52,1.43,0.22,0.71,1.34,0.66,2.32,1.47,0.15,1.78,1.72,0.85,0.86,0.89,0.82,0.47,1.99,0,0,0,0,0,0
GEOR030101 ,-0.27,1.87,0.81,0.81,-1.05,1.1,1.17,-0.16,0.28,-0.77,-1.1,1.7,-0.73,-1.43,-0.75,0.42,0.63,-1.57,-0.56,-0.4,0,0,0,0,0,0
GEOR030102 ,0.05,0.12,0.29,0.41,-0.84,0.46,0.38,0.31,-0.41,-0.69,-0.62,0.57,-0.38,-0.45,0.46,0.12,0.38,-0.98,-0.25,-0.46,0,0,0,0,0,0
GEOR030103 ,0.54,-0.16,0.38,0.65,-1.13,0.05,0.38,NA,-0.59,-2.15,-1.08,0.48,-0.97,-1.51,-0.22,0.65,0.27,-1.61,-1.13,-0.75,0,0,0,0,0,0
GEOR030104 ,-0.31,1.3,0.49,0.58,-0.87,0.7,0.68,-0.33,0.13,-0.66,-0.53,1.79,-0.38,-0.45,0.34,0.1,0.21,-0.27,0.4,-0.62,0,0,0,0,0,0
GEOR030105 ,-0.27,2,0.61,0.5,-0.23,1,0.33,-0.22,0.37,-0.8,-0.44,1.17,-0.31,-0.55,0.36,0.17,0.18,0.05,0.48,-0.65,0,0,0,0,0,0
GEOR030106 ,0.39,NA,-1.91,-0.71,0.25,-1.3,-0.18,0,-0.6,1.82,1.82,0.32,0.96,2.27,NA,-1.24,-1,2.13,1.47,1.3,0,0,0,0,0,0
GEOR030107 ,0.39,-3.95,-1.91,-3.81,0.25,-1.3,-2.91,0,-0.64,1.82,1.82,-2.77,0.96,2.27,NA,-1.24,-1,2.13,1.47,1.3,0,0,0,0,0,0
GEOR030108 ,0.18,-5.4,-1.3,-2.36,0.27,-1.22,-2.1,0.09,-1.48,0.37,0.41,-2.53,0.44,0.5,-0.2,-0.4,-0.34,-0.01,-0.08,0.32,0,0,0,0,0,0
GEOR030109 ,0.42,-1.56,-1.03,-0.51,0.84,-0.96,-0.37,0,-2.28,1.81,1.8,-2.03,1.18,1.74,0.86,-0.64,-0.26,1.46,0.51,1.34,0,0,0,0,0,0
ZHOH040101 ,616,0,236,28,0.68,251,43,501,165,943,943,283,738,1,711,359,0.45,878,0.88,825,0,0,0,0,0,0
ZHOH040102 ,0.2,-0.7,-0.5,-1.4,1.9,-1.1,-1.3,-0.1,0.4,1.4,0.5,-1.6,0.5,1,-1,-0.7,-0.4,1.6,0.5,0.7,0,0,0,0,0,0
ZHOH040103 ,50.76,48.66,45.8,43.17,58.74,46.09,43.48,50.27,49.33,57.3,53.89,42.92,52.75,53.45,45.39,47.24,49.26,53.59,51.79,56.12,0,0,0,0,0,0
BAEK050101 ,-414,-584,-916,-1.31,162,-905,-1218,-684,-0.63,1237,1215,-0.67,1.02,1938,-503,-563,-289,514,1699,899,0,0,0,0,0,0
HARY940101 ,-0.96,0.75,-1.94,-5.68,4.54,-5.3,-3.86,-1.28,-0.62,5.54,6.81,-5.62,4.76,5.06,-4.47,-1.92,-3.99,0.21,3.34,5.39,0,0,0,0,0,0
PONJ960101 ,-0.26,0.08,-0.46,-1.3,0.83,-0.83,-0.73,-0.4,-0.18,1.1,1.52,-1.01,1.09,1.09,-0.62,-0.55,-0.71,-0.13,0.69,1.15,0,0,0,0,0,0
DIGM050101 ,-0.73,-1.03,-5.29,-6.13,0.64,-0.96,-2.9,-2.67,3.03,5.04,4.91,-5.99,3.34,5.2,-4.32,-3,-1.91,0.51,2.87,3.98,0,0,0,0,0,0
WOLR790101 ,-1.35,-3.89,-10.96,-11.88,4.37,-1.34,-4.56,-5.82,6.54,10.93,9.88,-11.92,7.47,11.35,-10.86,-6.21,-4.83,1.8,7.61,8.2,0,0,0,0,0,0
OLSK800101 ,-0.56,-0.26,-2.87,-4.31,1.78,-2.31,-2.35,-1.35,0.81,3.83,4.09,-4.08,3.11,3.67,-3.22,-1.85,-1.97,-0.11,2.17,3.31,0,0,0,0,0,0
KIDA850101 ,1.37,1.33,6.29,8.93,-4.47,3.88,4.04,3.39,-1.65,-7.92,-8.68,7.7,-7.13,-7.96,6.25,4.08,4.02,0.79,-4.73,-6.94,0,0,0,0,0,0
GUYH850102 ,-0.02,0.44,0.63,0.72,-0.96,0.56,0.74,0.38,0,-1.89,-2.29,1.01,-1.36,-2.22,0.47,0.55,0.25,-1.28,-0.88,-1.34,0,0,0,0,0,0
GUYH850103 ,0,0.07,0.1,0.12,-0.16,0.09,0.12,0.06,0,-0.31,-0.37,0.17,-0.22,-0.36,0.08,0.09,0.04,-0.21,-0.14,-0.22,0,0,0,0,0,0
GUYH850104 ,-0.03,0.09,0.13,0.17,-0.36,0.13,0.23,0.09,-0.04,-0.33,-0.38,0.32,-0.3,-0.34,0.2,0.1,0.01,-0.24,-0.23,-0.29,0,0,0,0,0,0
GUYH850105 ,-0.04,0.07,0.13,0.19,-0.38,0.14,0.23,0.09,-0.04,-0.34,-0.37,0.33,-0.3,-0.38,0.19,0.12,0.03,-0.33,-0.29,-0.29,0,0,0,0,0,0
ROSM880104 ,-0.02,0.08,0.1,0.19,-0.32,0.15,0.21,-0.02,-0.02,-0.28,-0.32,0.3,-0.25,-0.33,0.11,0.11,0.05,-0.27,-0.23,-0.23,0,0,0,0,0,0
ROSM880105 ,-1.6,12.3,4.8,9.2,-2,4.1,8.2,-1,3,-3.1,-2.8,8.8,-3.4,-3.7,0.2,-0.6,-1.2,-1.9,0.7,-2.6,0,0,0,0,0,0
JACR890101 ,-0.21,2.11,0.96,1.36,-6.04,1.52,2.3,0,-1.23,-4.81,-4.68,3.88,-3.66,-4.65,0.75,1.74,0.78,-3.32,-1.01,-3.5,0,0,0,0,0,0
